,name,rating,genre,year,score,votes,director,writer,star,runtime,decade,gross,budget,company
3595,At First Sight,PG-13,Drama,1999,6.0,13000.0,Irwin Winkler,Oliver Sacks,Val Kilmer,128.0,1990s,43.0,116.0,Metro-Goldwyn-Mayer (MGM)
3596,An Ideal Husband,PG-13,Comedy,1999,6.8,15000.0,Oliver Parker,Oscar Wilde,Rupert Everett,97.0,1990s,36.0,27.0,Arts Council of England
3598,Tea with Mussolini,PG,Comedy,1999,6.9,12000.0,Franco Zeffirelli,John Mortimer,Maggie Smith,117.0,1990s,28.0,23.0,Medusa Film
3599,Gloria,R,Crime,1999,5.2,5500.0,Sidney Lumet,John Cassavetes,Sharon Stone,108.0,1990s,8.0,58.0,Columbia Pictures
3600,Cookie's Fortune,PG-13,Comedy,1999,6.9,13000.0,Robert Altman,Anne Rapp,Glenn Close,118.0,1990s,21.0,19.0,Elysian Dreams
3602,Three to Tango,PG-13,Comedy,1999,6.1,19000.0,Damon Santostefano,Rodney Patrick Vaccaro,Neve Campbell,98.0,1990s,20.0,39.0,Warner Brothers
3605,Mumford,R,Comedy,1999,6.8,8900.0,Lawrence Kasdan,Lawrence Kasdan,Loren Dean,112.0,1990s,9.0,54.0,Touchstone Pictures
3606,Wing Commander,PG-13,Action,1999,4.3,16000.0,Chris Roberts,Chris Roberts,Freddie Prinze Jr.,100.0,1990s,22.0,58.0,Centurion
3607,The Corruptor,R,Action,1999,6.1,18000.0,James Foley,Robert Pucci,Chow Yun-Fat,110.0,1990s,47.0,48.0,New Line Cinema
3608,Snow Falling on Cedars,PG-13,Drama,1999,6.8,14000.0,Scott Hicks,David Guterson,Ethan Hawke,127.0,1990s,44.0,68.0,Universal Pictures
3609,Music of the Heart,PG,Drama,1999,6.8,12000.0,Wes Craven,Pamela Gray,Meryl Streep,124.0,1990s,29.0,52.0,Craven-Maddalena Films
3610,The Love Letter,PG-13,Comedy,1999,5.5,4200.0,Peter Ho-Sun Chan,Cathleen Schine,Kate Capshaw,88.0,1990s,18.0,39.0,DreamWorks
3611,The Bachelor,PG-13,Comedy,1999,5.1,17000.0,Gary Sinyor,Roi Cooper Megrue,Chris O'Donnell,101.0,1990s,71.0,98.0,New Line Cinema
3612,In Too Deep,R,Crime,1999,6.3,6000.0,Michael Rymer,Michael Henry Brown,Omar Epps,95.0,1990s,27.0,14.0,Dimension Films
3613,Black & White,R,Crime,1999,4.9,5600.0,James Toback,James Toback,Ben Stiller,98.0,1990s,11.0,23.0,Bigel / Mailer Films
3614,Crazy in Alabama,PG-13,Comedy,1999,6.2,6700.0,Antonio Banderas,Mark Childress,Melanie Griffith,111.0,1990s,4.0,29.0,Columbia Pictures
3615,Lost & Found,PG-13,Comedy,1999,5.1,6200.0,Jeff Pollack,J.B. Cook,David Spade,100.0,1990s,13.0,58.0,Alcon Entertainment
3617,The Mod Squad,R,Action,1999,4.3,8800.0,Scott Silver,Buddy Ruskin,Claire Danes,92.0,1990s,26.0,96.0,Metro-Goldwyn-Mayer (MGM)
3619,Play It to the Bone,R,Comedy,1999,5.5,12000.0,Ron Shelton,Ron Shelton,Woody Harrelson,124.0,1990s,17.0,46.0,Play It Inc.
3620,Jakob the Liar,PG-13,Drama,1999,6.5,15000.0,Peter Kassovitz,Jurek Becker,Robin Williams,120.0,1990s,10.0,87.0,Columbia Pictures
3621,Cradle Will Rock,R,Drama,1999,6.8,8900.0,Tim Robbins,Tim Robbins,Hank Azaria,132.0,1990s,6.0,69.0,Cradle Productions Inc.
3628,Trick,R,Comedy,1999,7.2,8400.0,Jim Fall,Jason Schafer,Christian Campbell,89.0,1990s,4.0,1.0,Good Machine
3633,The Out-of-Towners,PG-13,Comedy,1999,5.5,13000.0,Sam Weisman,Neil Simon,Steve Martin,90.0,1990s,55.0,145.0,Cherry Alley Productions
3638,The King and I,G,Animation,1999,4.5,3700.0,Richard Rich,Oscar Hammerstein II,Miranda Richardson,87.0,1990s,23.0,48.0,Morgan Creek Entertainment
3639,Jesus' Son,R,Drama,1999,6.9,6900.0,Alison Maclean,Denis Johnson,Billy Crudup,107.0,1990s,3.0,5.0,Evenstar Films
3643,Almost Famous,R,Adventure,2000,7.9,260000.0,Cameron Crowe,Cameron Crowe,Billy Crudup,122.0,2000s,88.0,112.0,Columbia Pictures
3644,American Psycho,R,Comedy,2000,7.6,514000.0,Mary Harron,Bret Easton Ellis,Christian Bale,101.0,2000s,64.0,13.0,Am Psycho Productions
3645,Gladiator,R,Action,2000,8.5,1400000.0,Ridley Scott,David Franzoni,Russell Crowe,155.0,2000s,866.0,192.0,DreamWorks
3647,Requiem for a Dream,Unrated,Drama,2000,8.3,786000.0,Darren Aronofsky,Hubert Selby Jr.,Ellen Burstyn,102.0,2000s,14.0,8.0,Artisan Entertainment
3648,Memento,R,Mystery,2000,8.4,1200000.0,Christopher Nolan,Christopher Nolan,Guy Pearce,113.0,2000s,74.0,17.0,Newmarket Capital Group
3650,Cast Away,PG-13,Adventure,2000,7.8,542000.0,Robert Zemeckis,William Broyles Jr.,Tom Hanks,143.0,2000s,799.0,167.0,Twentieth Century Fox
3651,Scary Movie,R,Comedy,2000,6.2,238000.0,Keenen Ivory Wayans,Shawn Wayans,Anna Faris,88.0,2000s,517.0,35.0,Dimension Films
3652,The Perfect Storm,PG-13,Action,2000,6.4,160000.0,Wolfgang Petersen,Sebastian Junger,George Clooney,130.0,2000s,611.0,260.0,Warner Brothers
3653,Coyote Ugly,PG-13,Comedy,2000,5.7,108000.0,David McNally,Gina Wendkos,Piper Perabo,100.0,2000s,212.0,84.0,Touchstone Pictures
3654,X-Men,PG-13,Action,2000,7.4,582000.0,Bryan Singer,Tom DeSanto,Patrick Stewart,104.0,2000s,551.0,140.0,Twentieth Century Fox
3655,Space Cowboys,PG-13,Action,2000,6.4,75000.0,Clint Eastwood,Ken Kaufman,Clint Eastwood,130.0,2000s,240.0,121.0,Clipsal Films
3656,The Patriot,R,Action,2000,7.2,260000.0,Roland Emmerich,Robert Rodat,Mel Gibson,165.0,2000s,400.0,205.0,Columbia Pictures
3657,Erin Brockovich,R,Biography,2000,7.4,182000.0,Steven Soderbergh,Susannah Grant,Julia Roberts,131.0,2000s,477.0,97.0,Universal Pictures
3658,Unbreakable,PG-13,Drama,2000,7.3,396000.0,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,106.0,2000s,461.0,140.0,Touchstone Pictures
3659,Charlie's Angels,PG-13,Action,2000,5.6,179000.0,McG,Ryan Rowe,Cameron Diaz,98.0,2000s,491.0,173.0,Columbia Pictures
3660,Road Trip,R,Comedy,2000,6.4,161000.0,Todd Phillips,Todd Phillips,Breckin Meyer,93.0,2000s,223.0,30.0,DreamWorks
3661,The Beach,R,Adventure,2000,6.7,228000.0,Danny Boyle,John Hodge,Leonardo DiCaprio,119.0,2000s,268.0,93.0,Figment Films
3662,Bring It on,PG-13,Comedy,2000,6.0,90000.0,Peyton Reed,Jessica Bendinger,Kirsten Dunst,98.0,2000s,168.0,20.0,Beacon Communications
3663,Remember the Titans,PG,Biography,2000,7.8,202000.0,Boaz Yakin,Gregory Allen Howard,Denzel Washington,113.0,2000s,254.0,56.0,Jerry Bruckheimer Films
3664,Mission: Impossible II,PG-13,Action,2000,6.1,322000.0,John Woo,Bruce Geller,Tom Cruise,123.0,2000s,1016.0,232.0,Paramount Pictures
3665,"O Brother, Where Art Thou?",PG-13,Adventure,2000,7.7,295000.0,Joel Coen,Homer,George Clooney,107.0,2000s,134.0,48.0,Touchstone Pictures
3666,The 6th Day,PG-13,Action,2000,5.9,118000.0,Roger Spottiswoode,Cormac Wibberley,Arnold Schwarzenegger,123.0,2000s,179.0,153.0,Phoenix Pictures
3667,Chicken Run,G,Animation,2000,7.0,181000.0,Peter Lord,Peter Lord,Mel Gibson,84.0,2000s,418.0,84.0,Aardman Animations
3668,The Cell,R,Crime,2000,6.4,97000.0,Tarsem Singh,Mark Protosevich,Jennifer Lopez,107.0,2000s,194.0,61.0,New Line Cinema
3669,Final Destination,R,Horror,2000,6.7,236000.0,James Wong,Glen Morgan,Devon Sawa,98.0,2000s,210.0,43.0,New Line Cinema
3670,Traffic,R,Crime,2000,7.6,199000.0,Steven Soderbergh,Simon Moore,Michael Douglas,147.0,2000s,386.0,89.0,Compulsion Inc.
3673,What Lies Beneath,PG-13,Drama,2000,6.6,120000.0,Robert Zemeckis,Clark Gregg,Harrison Ford,130.0,2000s,542.0,186.0,DreamWorks
3674,The Emperor's New Groove,G,Animation,2000,7.4,187000.0,Mark Dindal,Chris Williams,David Spade,78.0,2000s,316.0,186.0,Walt Disney
3675,"Crouching Tiger, Hidden Dragon",PG-13,Action,2000,7.8,258000.0,Ang Lee,Hui-Ling Wang,Chow Yun-Fat,120.0,2000s,397.0,32.0,Asia Union Film & Entertainment Ltd.
3676,Gone in 60 Seconds,PG-13,Action,2000,6.5,265000.0,Dominic Sena,H.B. Halicki,Nicolas Cage,118.0,2000s,441.0,167.0,Touchstone Pictures
3677,"Dude, Where's My Car?",PG-13,Comedy,2000,5.5,136000.0,Danny Leiner,Philip Stark,Ashton Kutcher,83.0,2000s,136.0,24.0,Twentieth Century Fox
3678,Meet the Parents,PG-13,Comedy,2000,7.0,317000.0,Jay Roach,Greg Glienna,Ben Stiller,108.0,2000s,615.0,102.0,Universal Pictures
3679,Pitch Black,R,Action,2000,7.1,229000.0,David Twohy,Jim Wheat,Radha Mitchell,109.0,2000s,99.0,43.0,Polygram Filmed Entertainment
3680,Hollow Man,R,Action,2000,5.8,126000.0,Paul Verhoeven,Gary Scott Thompson,Kevin Bacon,112.0,2000s,354.0,177.0,Columbia Pictures
3682,Miss Congeniality,PG-13,Action,2000,6.3,194000.0,Donald Petrie,Marc Lawrence,Sandra Bullock,109.0,2000s,396.0,84.0,Castle Rock Entertainment
3683,High Fidelity,R,Comedy,2000,7.5,172000.0,Stephen Frears,Nick Hornby,John Cusack,113.0,2000s,88.0,56.0,Touchstone Pictures
3684,Battlefield Earth,PG-13,Action,2000,2.5,77000.0,Roger Christian,Corey Mandell,John Travolta,118.0,2000s,55.0,136.0,Warner Brothers
3685,Scream 3,R,Horror,2000,5.6,126000.0,Wes Craven,Kevin Williamson,David Arquette,116.0,2000s,301.0,74.0,Dimension Films
3686,Best in Show,PG-13,Comedy,2000,7.5,58000.0,Christopher Guest,Christopher Guest,Fred Willard,90.0,2000s,39.0,19.0,Castle Rock Entertainment
3687,The Whole Nine Yards,R,Comedy,2000,6.7,114000.0,Jonathan Lynn,Mitchell Kapner,Bruce Willis,98.0,2000s,198.0,77.0,Franchise Pictures
3688,Chocolat,PG-13,Drama,2000,7.2,181000.0,Lasse Hallström,Joanne Harris,Juliette Binoche,121.0,2000s,284.0,46.0,Miramax
3689,Billy Elliot,R,Drama,2000,7.7,129000.0,Stephen Daldry,Lee Hall,Jamie Bell,110.0,2000s,203.0,9.0,StudioCanal
